name,voice,description,personality,birthday,favorite,weak_point,sex,image_summaries
ビナー,"為すべき事を為すために…
ストライクショット！","神の声を聞き、天界を導く存在である「十天聖」の一人。他の天聖たちが自身の欲望を満たすべく神への反逆を企てる中、ただ一人、異を唱え立ち上がった。天界を守るという、自身と志を共にする者を見つけた彼女は、神を守る唯一の天聖として、緊張する仲間を前に優しく微笑むのだった。
",純真で協調性があり、他者を包み込む優しさを持つ,3/3,人の話を聞くこと、神の愛する世界と人々,わがままを言うこと、突発的な出来事,女," ビナーは、ピンクの髪と黄色の目をした若い女性です。
彼女は、白いドレスとピンクの鎧を着ています。
ドレスには、金色の縁取りと、胸の真ん中にはピンク色の宝石がついています。
鎧は、肩と胸を覆い、スカート部分にはピンク色の布がついています。
彼女は、左手で胸の宝石に触れ、右手は体の横に添えています。
頭には、金色の髪飾りをつけています。"
エクスカリバー,"かつての王にして未来の王か…
逢うのが楽しみだ…",ブリタニアの正当な統治者のみが持つことを許される、王を選び、王を導くという伝説の聖剣。先王が崩御し、荒れ果てていたブリタニアの国情を憂いていたエクスカリバーだが、選ばれし者しか抜くことができない選定の剣・カリバーンを引き抜いたアーサーの存在を感じ取る。新王の登場に胸を躍らせるエクスカリバーは、かつて共に戦った先代の王と交わした「再び王たる資質を持つ人物が現れたとき、その者を導き、世界に平和の光をもたらしてほしい」という約束を思い出す。そして、アーサーと対峙したエクスカリバーは問いかける。――この国を救うため、これから訪れる試練に立ち向かう覚悟が、お前にあるのか、と。その問いに対し、何の迷いもなく答えるアーサーの瞳に、希望の光を見出したエクスカリバーは、やがて来る試練を、彼女と共に乗り越えていくことを決意するのだった。,仲間思い、正義感が強くまっすぐな性格,,歴代の王、日々の鍛錬、旅と食事、子供たちと遊ぶこと,悪しき者、曲がったこと、嘘,男," エクスカリバーは、赤い髪と青い目で、頭には青いバンダナを巻いています。
彼は白いシャツとズボンを着ていて、上には金色の鎧を着ています。
また、彼は腰に剣を差しています。彼は片膝をついていて、片手で剣を持ち上げています。
もう片方の手は腰に当てています。彼は自信に満ちた表情で、こちらを見ています。"
ザナドゥ,"見ろ！壮麗なる歓楽の都を！
聴け！戦の足音を！",未知なる世界の果てにあるという、まだ見ぬ財宝を求め旅をする一人の少年がいた。陽気で破天荒な性格の少年は、祭りや予期せぬハプニングを好み、旅先で面白そうなものがあれば自ら進んで首を突っ込んでいた。ある日、旅の途中で謎の古代都市へと辿り着いた少年が、興味の赴くままに街の中心にそびえ立つ塔に登り頂上に立ったその時、彼の持つ杖と塔が共鳴し、古代都市を背負った、侵攻を司る巨獣・ザナドゥが地中より轟音とともに姿を現した。この世の地すべてを自らの領土にすることを志とするザナドゥが、少年の熱くたぎる心を自身のエネルギーとすべく彼に契約を持ち掛けると、新たな興奮と好奇心に駆られた少年は躊躇なく契約者となることを決める。すると、少年の心と呼応して、ザナドゥの背に建つ古代都市は、壮麗な歓楽街へとその姿を変えたのだった。,【モンスター】荒々しく破壊的,,,,, ザナドゥは、モンスターストライクというゲームのキャラクターです。彼は緑の髪と目で、先住民のような服装をしています。彼は槍を持っており、その槍にはカラフルな羽飾りがついています。彼はまた、腰に巻いた布と、首に巻いたスカーフをつけています。彼は背中に大きな岩を背負っており、その岩には木が生えています。彼はまた、足元に小さな生き物を従えています。
アベル,"ひっつじさん～♪ひっつじさん～♪
えへへ、神さまとお揃いなのです♡",カインの妹で、姉のことが大好きな明るく優しい性格の少女、アベル。生まれた時から、周りの人々や天使たち、さらには神様にまでも愛されることが定められており、周囲の愛を一身に受けて育ったことで怒りや憎しみといった負の感情に触れることがなく、そのため常に笑顔で底抜けに前向きな性格へと成長した。姉のカインやみんなを喜ばせることが大好きで、不器用ながらも趣味の裁縫でぬいぐるみを作っては沢山の人たちに配っている。神様にもプレゼントしようと、自分と神様を模したお揃いの羊のぬいぐるみを作って、喜んでもらえるように一生懸命リボンで可愛く飾りつけるのだった。,底抜けに明るく前向き。常に笑顔で優しい,,カインお姉ちゃん、神さま、優しくしてくれるみんな、お裁縫、羊さん,カインお姉ちゃんと遊べない時間,女," アベルは、モンスターストライクというゲームに登場するキャラクターです。
金色の髪をしており、髪型はツインテールで、先端がハート型のリボンで結ばれています。
また、頭には大きな赤いリボンをつけています。
目は赤色で、まつ毛が長く、瞳孔はハート型をしています。
服装は、白いセーターにピンクのワンピースを着ています。
セーターには赤いハートの柄が入っています。
ワンピースには白いエプロンをつけています。
足には、ピンクのブーツを履いています。
手には、赤い糸を持っており、それを操って、ぬいぐるみを作っています。
アベルは、とても可愛いキャラクターです。"
アンチテーゼ,"お前は悪か…？
ならば正義を執行する！！",正義の化身にして、反立の化身たる存在。日々、ありとあらゆる悪を疑うことなく粉砕し、自身がヒーローの中のヒーローであると自負している。体が磁石によって構成されており、上半身は、人々からの信頼や正義を求める力を己のパワーとして吸着・蓄積でき、下半身には打ち倒した悪のエネルギーが吸着・蓄積されてくという特性を持つ。今日もまた、助けを求める人々の声を聴き、ヒーローとして悪の前に現れたアンチテーゼだったが、その内側ではゆっくりと彼の持つ別の側面が形成されようとしていた。,正義感をすべての行動原理とする,,善行、守ること,悪行、壊すこと,, アンチテーゼは、黄色い肌と筋肉質な体格をした人型の魔神です。彼は、アンチテーゼの書という本を常に持ち歩いており、その本には、彼の力の大部分が宿っています。アンチテーゼは、その本を使って、様々な魔法を操ることができます。また、アンチテーゼは、非常に高い知能を持っており、その知能を使って、様々な策略を巡らせます。
テンペスト,"発明と改良はアタシの十八番、
電気の可能性を魅せてやるよ♪",若くして革新的な技術体系を確立した天才少女テンペスト。その技術を応用した発明品は、人々の生活を豊かにし、瞬く間に世界にその名を知られることになった。幼い頃に、学者であった父と世界中を旅したことがあり、相棒のフェネックであるファラドとは、技術検証のために訪れた砂漠の国で、弱っていたところを助けたことがきっかけで仲良くなった。知らない文化や体験に触れたときのドキドキ感が堪らなく好きで、その経験が発明家の道を歩む動機となっている。電力を自在に操る特殊な超電式グローブを新たに開発したテンペストは、幼馴染で親友である自分の研究助手にその力を見せながら、得意げな笑みを浮かべるのだった。,勝ち気で快活、芯が強くまっすぐな性格,3/25,研究と発明、知らない文化や体験,寒い場所,女," テンペストは、モンストに登場するキャラクターです。
彼女は黄色い髪と緑色の目をした若い女性で、スチームパンク風の服装をしています。
彼女は発明家であり、彼女の相棒であるケット・シーと一緒に、空を飛ぶことができる機械を発明しました。
彼女はまた、強力な魔術師であり、電気と風の魔法を使うことができます。"
はにすけ,ハニハニ、ハァニ～…！,卑弥呼に仕えているはにわ。「ハニハニ」としか喋れないものの、主人である卑弥呼の神託をもっともっと大勢に伝えようと拡声器を手に日夜頑張る真面目な性格の持ち主。同じ姿の仲間が数多く存在しており、集団でいる際は「ハニーズ」と呼ぶのが正式（？）らしい。実は、休日は正義の軍団「ハニーズ５」として悪者退治の活動もしているようで、今日もはにすけは邪馬台国のパトロールを行うために、「ハニーズ５」専用アイテムであるベルトやサングラスを装着し、仲間だけに聞こえる特別な音波を拡声器から発して招集をかける。,真面目で頑張り屋,8/2（卑弥呼がはにすけを作った日）,卑弥呼、神託を届けること、ひなたぼっこ,ジメジメした場所,, はにすけは、頭が茶色で、顔にはサングラスをかけています。体は紫色のローブを着ていて、腰には金色のベルトを締めています。左手に拡声器を持っています。
アイリーン・アドラー,"ホームズがお眠の間に…♪
こ、これは～！なんて甘いの～♡",シャーロック・ホームズと行動を共にしている、機密魔導書（ミスティリオン・グリモワール）が意思を持った魔道生物。「謎の解明」が自身のエネルギーとなるため、ホームズと契約を交わして彼女の捜査に力を貸している。人間の非合理的な生き方や感情を理解できないが、それも一つの『謎』として大いに興味を抱いており、最近はホームズがいつも舐めているキャンディに何の魅力があるのかについて興味津々の様子。,ミステリアス、知的好奇心が強い,不明,ホームズ、謎,簡単な謎（解明によって得られるエネルギーが少ないから）,不明," アイリーン・アドラーは、モンスターストライクというゲームに登場するキャラクターです。
彼女は、白くてふわふわした毛並みを持つ、ウサギのような姿をしています。
大きな垂れ耳と、くるんとした尻尾が特徴的です。
目は緑色で、いつもニコニコと笑っています。
口には、いつもキャンディーをくわえています。
キャンディーの色は、赤・青・緑の3色です。
彼女は、とても人懐っこい性格で、いつも冒険者についていきます。
冒険者のことが大好きで、いつも冒険者のためにキャンディーをくわえています。
彼女は、冒険者の大切な友達です。"
アンゴルモア,"ノストラダムス様の予言を、
お知らせしま…おろろろろ～。",ノストラダムスと行動を共にしている宇宙人。ノストラダムスが赤ん坊の頃からずっと一緒で、何かと振り回されることが多いが、彼女を心から慕い、誠心誠意仕えている。ノストラダムスが天から受信した予言が特別な力で転送され、予言書として口から吐き出されるという特殊な体質を持っており、それこそが自分に与えられた大事な使命であると考えている。,温厚で礼儀正しい,7/14,ノストラダムス様、のんびりする時間,早く走ること,男, アンゴルモアは、緑色の肌をした小さなモンスターです。彼はとげとげの背と、大きな口を持っています。口からは紙がでています。彼はまた、頭頂部にピンク色のハート型の器官を持っています。
シロイノ,ムン！,アリババの相棒として共に冒険をする、真っ白い体のエイリアン。無口でいつも機嫌が悪そうな表情をしているため、冷たく無愛想に思われがちだが、実際は面倒見がよく、頼まれごとは基本的に断らないという優しい性格の持ち主。頭にある長い耳のような部分は、物を掴んだりなど腕のようにも使える優れもの。洞窟兼「スナック アリババ」という店の姿をしたモンスター・セサミをアリババと共に退治したあとに、隠れ家へと改造した場所がお気に入りらしい。,寡黙でワイルド、心優しい兄貴肌,11/5,アリババ、冒険,不義理なこと,男, シロイノは、白い身体に赤い目と口を持つキャラクターです。頭に赤いとんがり帽子をかぶり、首には鈴をつけています。両手を広げており、そのうち片方の手のひらには「ようこそ　モンスターストライク　へ」と書かれた看板を持っています。看板の隣には、同じく赤い屋根の小さなドアが設置されています。ドアの隣には、明かりのついたランプが設置されています。
ウサフィーヌ,ウサウサ、ウッサ～♪,ナポレオンに仕えている、明るく勇敢な性格のウサギ。類まれなる才能と圧倒的なカリスマ性を併せ持つナポレオンに心を奪われ、生涯をかけて全力で彼女を支えることを誓っている。ナポレオンのことが大好きなので、仕草やポーズなどを真似することがよくある。ちなみに同じ姿の仲間がたくさんいる。,いつも明るくご機嫌、勇敢で正義感にあふれている,6/23,ナポレオン、探検,曲がった行い、大きな犬（ちょっと怖いらしい）,, 画像のキャラクターは、ウサフィーヌという名前のモンスターストライクというゲームのキャラクターです。ウサフィーヌは、ピンク色のウサギのような姿をしています。頭には、赤い帽子をかぶっています。帽子の正面には白い星が描かれています。ウサフィーヌは、赤い服を着ています。服には、金色のボタンがたくさんついています。ウサフィーヌは、刀を持っています。刀の鞘は赤色で、柄は金色です。ウサフィーヌは、星に囲まれています。星は、赤・青・緑・黄色の4色です。
カヤノヒメ,"こんなに素敵な冠だもの、
ワタツミ姉さまも似合うって
言ってくれるわ♡",イザナギとイザナミの子であり、姉にワタツミ、弟にカグツチを持つ、野のすべてを司る草の女神。炊事や洗濯など家事全般が得意で、人の面倒を見たり世話を焼くことを好むしっかり者だが、ややそそっかしい一面も持つ、柔和で明るい性格の持ち主。野原を訪れて、自身が守護する草花と触れ合い、神力で元気を与えることを大切な日課としている彼女は、草花たちからも愛されており、カヤノヒメのことを自分で飾りたいと草花たちから申し出をされることもしばしばである。,温和で家庭的、少しそそっかしい一面も,,散歩、草花、家族、愛用の茅葺き傘,喧嘩、争いごと,女, カヤノヒメは、緑色の髪と緑色の目をした少女です。彼女は白い着物と赤い帯を着ており、頭に大きな笠をかぶっています。笠には赤い花と緑の葉っぱがついています。彼女はまた、首に数珠をかけており、手には数珠を持っています。彼女は穏やかな表情で、微笑んでいます。
カエサル,"賽は投げられた…
さあ、余の時代を始めるぞ♪",天賦の才と生まれ持った圧倒的カリスマ性によって、少年と呼ばれる齢にして皇帝の座についたカエサル。高圧的な性格で、人も世界も何もかも自分の遊び道具に過ぎず、すべては自分の支配下にあって当然だという考えを持っている。頭脳明晰で人心掌握に長け、知略や軍略、さらには魔術の才にも秀でているカエサルは、ウェスタという名の炎の魔神を従えて自在に操り、自身に盾突く者たちを次々と滅していく。,高圧的で自分本位、享楽的な面も持つ,7/13,豪華絢爛なもの、自分に従順な者、楽しいこと全般,退屈、労働、長い話,男," カエサルは、赤いマントを羽織った少年の姿をしています。マントの内側は白色で、金色の縁取りがされています。また、マントには悪魔のような尻尾が生えています。

彼は、金色の王冠を被っており、王冠には赤い宝石が埋め込まれています。また、彼は、片目に眼帯をしており、眼帯には十字架のマークがついています。

彼の髪は、銀色で、短くカットされています。彼は、つり上がった目で、目は赤色をしています。また、彼は、口紅を塗っており、唇は紫色をしています。

彼は、右手に、悪魔のような杖を持っています。杖には、紫色の宝石が埋め込まれています。また、杖の上部には、悪魔の顔が彫られています。

彼は、左手を腰に当てています。また、彼は、片足で立っており、もう片方の足は、椅子の背もたれに乗せています。

彼は、椅子に座っており、椅子は、金色で、背もたれには、赤い宝石が埋め込まれています。また、椅子の座面には、紫色のクッションが敷かれています。"
ティル・ナ・ノーグ,"さあ、人類の救済の始まりですわ…
ドルチェに…アダージョに…♡",遠い過去、純粋無垢な一人の少女がいた。少女は名家の令嬢だったが、時代とともに次第に没落していき、家族や友人といった、大切な人々をすべて失ってしまう。深い孤独の中で自身も死を迎えようとしていたその間際、少女の生への強い執念が、生命を司る異形の水妖・ティル・ナ・ノーグを呼びよせる。少女はティル・ナ・ノーグと契約を交わし、生命のエネルギーに満ちたその体内に取り込まれることで不老不死の体を手に入れた。そうして少女は、自身を苦しめた「死」のない世界を実現すべく、ティル・ナ・ノーグと共に動き出すのだった。,【モンスター】優雅だが獰猛な面も持つ,,,,," ティル・ナ・ノーグは、モンスターストライクというゲームに登場するキャラクターです。彼女はアイルランドの神話に登場するティル・ナ・ノーグの女王であり、永遠の若さと美しさを持つと言われています。

ティル・ナ・ノーグは、金色の髪と青い目をした若い女性として描かれています。彼女は白いドレスを着て、頭には花冠を載せています。また、彼女は竪琴を弾いており、その音色は人々を魅了します。

ティル・ナ・ノーグは、優しく慈悲深い性格をしています。彼女は人々を愛し、彼らを助けるためにいつも側にいます。また、彼女は自然を愛し、動物たちと仲良く暮らしています。

ティル・ナ・ノーグは、人々から愛され尊敬されているキャラクターです。彼女は、永遠の若さと美しさの象徴であり、人々に希望を与えています。"
ルーチー,"ピッカピカに綺麗にするの…
ジュジュ姉さま、
喜んでくれるかな…",ジュジュの力によって蘇らされたアンデッドの少年。生前は体が弱く病気がちで、体の線が細いため女の子と間違えられることもしばしばだった。その愛らしい容姿と母性本能をくすぐる性格がジュジュに気に入られて、ことあるごとにジュジュの自室に呼ばれては、絵本を読んでもらったりお茶をしたりといった穏やかな時間を一緒に過ごしており、ルーチーもその時間が大好きで、ジュジュのことを心から慕っている。他のアンデッドたちと同じく、ジュジュの命令で彼女の屋敷の管理をしており、ルーチーは掃除を担当しているが、ゾンビであるため、掃除をしたそばから自分の体液で床を汚してしまい、なかなか綺麗にならない様子。,内気で気弱、純真,6/17（ジュジュの力で蘇った日）,ジュジュ姉さま、ジュジュ姉さまが読んでくれる絵本,運動、牛乳、怖い話,男," ルーチーは、紫色の髪と赤い目で、背が低く、痩せています。
彼女は、黒いセーラー服を着て、白いエプロンをつけています。
彼女は、ほうきとちりとりを持っており、床を掃除しています。
彼女の口は縫い合わされており、両手には包帯を巻いています。
彼女は、とても不気味な雰囲気を持っています。"
ジュジュ・アロメロ,"ようこそ、イケメン君、
今日から君はあたしのものだよ♡",死者を蘇らせる呪術を究めたネクロマンサーの少女。引きこもりがちで人付き合いが苦手であり、生者は裏切るが自分の術によって蘇った死者は裏切らないという考えのもと、容姿端麗な男性だけをアンデッドとして蘇らせて自分に従わせ、地上の楽園を作ろうと計画している。いつも一緒にいるシルクハットをかぶったおばけのスティーブンは、ジュジュが最初に蘇らせた死者であり、当時まだ術が未熟だったために肉体を持たない幽霊のような形となっている。小さく頼りないスティーブンだが、ジュジュにとっては長年付き添ってきた相棒のような存在で、最も信頼を寄せていると同時に、最もこき使っている相手でもある。,独占欲と依存心が強い、利己的,2/4,イケメン、可愛いもの,生者、可愛くないもの,女, ジュジュ・アロメロは、緑色の髪と黄色の目をした少女です。彼女は黄色のドレスを着て、頭にはカボチャの傘を差しています。彼女の足元には、墓石と幽霊がいます。
キョウ・リンポー,"イエス、マイ・マスター♡
私の最高の料理を
召し上がって頂きましょう…",ジュジュの力によって蘇らされたアンデッドの青年。生前は武道を究めるべく修行をしていた求道者だった。他のアンデッドたちと同じく、ジュジュの命令で彼女の屋敷の管理をしており、キョウは料理を担当しているが、料理の道も武道と同じく究めるべきものであると考え、自分に再び命を与えてくれた敬愛するジュジュに美味しいと言ってもらうために、修練の日々を送っている。,真面目で温厚、ストイック,1/7（ジュジュの力で蘇った日）,マスター、修練,怠る者、手を抜くこと,男," キョウ・リンポーは中華鍋をひっくり返して、炒飯を豪快に放り投げています。
彼は緑の服を着て、帽子をかぶっています。
長い青髪をしており、左のほほには傷跡があります。
彼は真剣な表情で、炒飯を炒めています。"
シュライミ,"モウイング・オブ・ダークネス！
魔界の植物は手強いぜ…",ジュジュの力によって蘇らされたアンデッドの青年。かなりのナルシストで、自分を特別な存在だと思い込んでおり、「前世で然る王族の姫だったジュジュと将来を誓い合うも身分の違いで結ばれなかったが、時を越えてこうして再び出会い、いずれジュジュも前世の記憶を思い出して、自分と真の愛で結ばれる」という物語が彼の脳内で完成されている。他のアンデッドたちと同じく、ジュジュの命令で彼女の屋敷の管理をしており、シュライミは草刈りを担当しているが、彼の中では「ジュジュを守るために、危険な魔界の人食い植物を愛用の邪死鎌で根絶やしにする任務」という設定らしい。,自信家でナルシスト、思い込みが激しい妄想家,10/23（ジュジュの力で蘇った日）,お嬢、自分、薔薇、髑髏,自分のセンスを理解しない者、包帯を解かれること,男, シュライミは、紫色の髪と赤い目をした少年です。彼は、左目を覆う包帯と、右腕に巻かれた包帯をしています。彼は、青いシャツとズボンを着て、腰には鎖鎌をつけています。彼は、鎌を振り回して攻撃します。
シトリン,"みんな元気に育つのよ♡
エメラルドもお前たちを見たら
きっとここを気に入るわ♡",アメジストの同僚である、魔法学園の教師。魔法生物学を担当しており、研究のために多数の魔法動物や魔法植物を独自に育てている。その美貌と妖艶な魅力で学内での人気は高いのだが、学者肌な性格の変わり者で、授業以外ではあまり人前に出ず研究室に籠もって実験をしていることが多く、下手に近づくと怪しい実験に付き合わされてしまうという噂があり、学生たちからは警戒されている。自身が授業を受け持つ珍しい竜族の少女・エメラルドのことがお気に入りらしく、ことあるごとにつきまとっては鬱陶しがられている模様。,マイペースな学者肌,8/1,研究、実験、エメラルド,学校行事、職員会議,女," シトリンは、モンスターストライクというゲームに登場するキャラクターです。
彼女は、金色の髪と緑色の目をした、背の高い女性です。
彼女は、紫色のドレスを着て、胸には黄色い宝石が付いています。
彼女はまた、眼鏡をかけていて、腰には水筒をつけています。
彼女は、植物を育てるのが好きで、よく植物園で植物に水をあげています。"
アクアマリン,"ではイベントの予算案はこれで…
ってトパーズ、
何ボーッとしているの？",ルビーやダイヤモンドたちと同じ学園に通う、人魚族の少女。大貴族の家系に生まれ、幼少期から英才教育を施されて育ったため、自分は常にトップを走り、人々の上に立ち続ける存在でなければならないという強い意識を持っており、学園では生徒会長を務めている。しかし、厳しい性格のためか生徒たちからの支持はあまりないようで、カリスマ性あふれる人気者のダイヤモンドに人望を奪われていると感じて、彼を一方的にライバル視している。力を解放することでアクアマリンは本来の人魚の姿になり、水の大魔法を扱えるようになるのだが、体が生臭くなってしまうため滅多に変身することはなく、人魚族であるということ自体にもコンプレックスを抱いており、そのことを隠しながら学園生活を送っている。なお、その秘密を知るのは幼い頃からずっと一緒にいるトパーズだけである。,生真面目。プライドとエリート意識が高く、自分にも他人にも厳しい,3/12,トパーズ、海の生き物,人前で人魚の姿になること,女," アクアマリンは、紺色のジャケットとスカートを着た少女です。
スカートには、水色のラインが入っています。
彼女は、長い水色の髪をしており、髪には、宝石のようなものが飾られています。
また、彼女は、水色の杖を持っています。"
トパーズ,"この身体、この命、
俺の全てはマリン様のために…！",ルビーやダイヤモンドたちと同じ学園に通う生徒。一家でアクアマリンの家に仕えており、幼少の頃からずっとアクアマリンの侍衛を勤めている。真面目な性格で、主従の契りを絶対としており、常にアクアマリンのそばにいられるようにと彼女が生徒会長を務める生徒会に入り、庶務長として働いている。宝石の力が込められた銃を武器に持つトパーズは、アクアマリンを守るためであればどんな困難も厭わないという強い意志のもと、彼女の身辺警護のためのトレーニングに日々励んでおり、学園一、ひいてはジュエルズ帝国一とも噂されるほどの銃の腕前を持つ。,真面目で一本気,11/8,アクアマリン、自己鍛錬,怠惰,男, トパーズは、モンスターストライクというゲームのキャラクターです。彼は、茶色の髪と緑の目で、背が高く、痩身の少年です。彼は、青いジャケットとズボンを着て、赤いネクタイを締めています。また、彼は、銃を装備しています。彼は、真面目で責任感の強い性格です。
月麗,"満ちて欠けるは無常の定め…
私の心は何処に在りや…",夜空の月をも凌ぐほどの美貌の持ち主と国中で噂となるも、素性については誰も知る者がない謎多き美女、月麗。その正体は、暴虐非道の限りを尽くす暴君の暗殺を狙う学者によって造られた、アンドロイド兵器であった。父である学者の計画に従い、暴君に近づき妻となった月麗は、暗殺決行の日が近づく中、夜空の月を見上げながら自分の運命に静かに思いを馳せる。,無感情,7/20,,,女, 月麗は、緑色の目をした若い女性です。彼女は長い銀色の髪をしており、赤い角のようなものが生えています。彼女は紫色の着物と緑色の帯を身に着けています。彼女はまた、赤い扇子を持っており、それを顔の横に持っています。彼女は雲の上に座っており、満月が彼女の後ろにあります。
西王母,"三千年の桃は不老長寿の霊薬、
あげる訳にはいかないの！",西方の果てにある霊山・崑崙山に住む仙女。三千年に一度実をつけるという不老不死の果実・仙桃の園の守護者として、桃園への侵入者がいないか日々目を光らせている。,真面目だが攻撃的な一面も,3/3,桃、桃の形のお菓子,桃を食べてしまう虫たち,女," 西王母は、緑色の髪をしており、髪には桃の花と葉の髪飾りがついています。
彼女は桃の実を模した杖を持っており、その杖には「蟠桃」と書かれた巻物と、桃の葉が巻きついています。
彼女はピンク色のチャイナドレスを着ており、その裾には桃の花びらの模様が入っています。
また、彼女は腰に蛇を巻きつけており、その蛇は彼女の左腕に絡みついています。"
コンプレックス,"美しいものは
全て私のために存在しているの…
当然でしょ？",劣等感の化身にして、電子世界の支配者たる存在。美しさを愛し、また、醜さを何よりも嫌っているが故に、自分の頭部の醜さに圧倒的な劣等感を抱き、電子情報で形成された美しい羽根で常に覆い隠している。自身をさらに美しく着飾ろうと、コンプレックスが電子世界から華々しく美しい情報を次々と奪い取ったため、電子世界には醜悪な情報のみが残ってしまい、その結果、正しく情報を得られなくなった世界は混乱をきたし、破滅の道を辿っていくのだった。,プライドが高く承認欲求が強い、常に強い劣等感を抱えている,,美しいもの、自分を美しく見せるもの,醜いもの、自分の劣等感を刺激するもの,, コンプレックスは、白いドレスを着た女性の姿をしています。ドレスには、ところどころに紫色の宝石のようなものがついています。背中には、緑色の羽のようなものが生えており、頭には、角のようなものがあります。顔は、緑色の仮面のようなもので覆われており、目は赤く光っています。
媽祖,"観音様のお導き…
媽祖は務めを果たします…",ある日、神から癒しの神通力を授かった少女・黙娘は、村人の病を治したことから、通賢霊女と呼ばれるようになる。その評判を聞きつけて、数多の病人が国中から彼女のもとを訪れた。彼らのために尽力し、痛みに寄り添いながら治癒を続け、多くの感謝を集め巫女として崇められるようになった黙娘は、その功績が認められ、仙人の導きによって媽祖という名の神となった。,心優しく穏やか,,海、生きとし生けるものたち,争いごと,女," 媽祖は、青い服を着て、長い黒髪をしており、髪飾りをつけています。
彼女は、水色の目で、ピンク色の頬をしています。
また、彼女は、腰に巻いた帯から、水色の布をなびかせています。
彼女は片手を上げ、もう片方の手は下ろし、水色の玉を持っています。
彼女は、蓮の花の上に立っており、蓮の花びらが彼女の周りに舞っています。"
ツタンカーメン,"アマルナからテーベへ…
民の苦しみは我が悲しみである…",「アメンの似姿」という意味の名を持つエジプト王。国と民を深く愛しており、父であるかつての王・アクエンアテンが奪った多数の神々への信仰を民に返すために尽力している。線が細く、決して強靭な身体ではないツタンカーメンだが、神々の祝福を受けており、カノプス壺に収められた神の御霊の力を具現化し、使役する能力を持っている。,実直で心優しい,,エジプトの民と自然、ブドウ、セネト,激しく体を動かすこと,男," ツタンカーメンは、エジプト第18王朝第12代ファラオ。本名はトゥト・アンク・アメン（意訳すると「アメン神に生けるアメン」）である。

容姿は、エジプト壁画のファラオの典型的な姿であり、腰にはエジプト王笏を携えている。

また、ツタンカーメンの頭には、古代エジプトのファラオが被っていたものと同じ、黄金のネメス（頭巾）を着用している。

ツタンカーメンの肌は浅黒い褐色で、目はアーモンド型をしている。

彼はまた、エジプトのファラオとしてふさわしい威厳と気品を備えている。

ツタンカーメンは、エジプトの歴史上最も有名なファラオの一人であり、彼の墓は1922年にイギリスの考古学者ハワード・カーターによって発見された。

ツタンカーメンの墓は、エジプトのファラオの墓としては初めてほぼ完全な形で発見されたもので、ツタンカーメンの遺体や副葬品など、貴重な財宝が数多く出土した。

ツタンカーメンの墓の発見は、エジプト学の発展に大きく貢献し、ツタンカーメンは世界中で知られるようになった。"
ジパング,"漸くお目覚めかい？
…まあ、まずは柿でも食いなって♪",東方にある小さな島に一人の男がいた。男は、酒と女をこよなく愛するだらしない性格であったが、由緒正しき仏門出身の僧侶であり、とりわけ法術については天才的な腕前を持っていた。男はある日、過酷な修行の途中、深遠なる神奈備の領域へと迷い込み、大地の龍脈を司る守護獣・ジパングと出会う。やがて島に訪れるであろう脅威を察し、男の力を見込んで自身との契約を持ち掛けるジパング。己が生まれ育った美しい島を愛する男は、ジパングとの契約を受け入れて、行動を共にすることを選ぶのだった。,【モンスター】物堅く厳格,,,,," ジパングは、頭にかごを乗せた侍のような姿をしています。
かごの中にはみかんのようなものが入っています。
左手に錫杖のようなものを持っています。錫杖には数珠のようなものが巻きつけられています。
右手にみかんのようなものを持っています。
首には数珠をかけています。
腰には刀のようなものをつけています。
足元には岩のようなものがあり、その岩には赤い炎のようなものが燃え盛っています。"
ロイロット博士,"このヘビ助はね、
とっても力持ちなんだよ♪",幼いながらも天才的な頭脳を持ち、ロボット工学を筆頭に、医学、科学、生物学などあらゆる知識を持つ博士。無邪気にダンボールで工作をしているように見えるが、実は彼女が作っているのは超高性能AIを搭載した自立型ロボットである。,無邪気で天真爛漫,8/5,発明、おやつ、お昼寝,グリンピース、にんじん,女," ロイロット博士は紫色の髪をしており、髪を下ろし、左側に大きなリボンをつけています。
また、ゴーグルをつけており、白いコートを着ています。
コートには緑色のラインが入っており、左腕には緑色のリストバンドをしています。
また、首には緑色のネクタイを身に着けています。
ズボンは紺色で、紺色のスニーカーを履いています。
左足には包帯を巻いています。

ロイロット博士は、ゲーム「モンスターストライク」に登場するキャラクターです。
彼女は発明家であり、様々な発明品を作り出しています。
また、彼女は正義感が強く、悪と戦うために発明品を使っています。"
ミルヴァートン,"良いんですかい奥さん？
悪くねぇ取引だと思いますがねぇ♪",冷血で洞察力が高い蛇の獣人。ターゲットの弱みになりそうなネタを手に入れては、高額で買い取るように脅すという悪行を働いている。用心深い完璧主義者であるため、脅しのネタをしまっているアタッシュケースは手錠を繋げたチェーンで常に厳重に持ち歩いている。,無慈悲で冷血な完璧主義者,7/16,金、弱者,貧乏人、偽善者,男, ミルヴァートンは、黄色の鱗を持つ蛇の妖怪です。サングラスをかけ、葉巻をくわえています。彼は紫色のズボンと緑色のシャツを着て、金のネックレスを身に着けています。彼はまた、片方の手に書類、もう一方の手には金色のステッキを持っています。彼は椅子に座って、足元に金色の宝箱を置いています。
